Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
20-11-2023,15:30,20-11-2023,CROWN CASTLE INTERNATI,US22822V1017,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,220.68,954d3c21-2e44-4260-b81f-0697c24a2002
20-11-2023,15:30,20-11-2023,CROWN CASTLE INTERNATI,US22822V1017,"Koop 2 @ 103,5 USD",,USD,-207.00,USD,-207.00,954d3c21-2e44-4260-b81f-0697c24a2002
19-11-2023,18:39,19-11-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,200.00,EUR,222.68,
17-11-2023,19:02,17-11-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,22.68,
17-11-2023,19:02,17-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,22.48,
17-11-2023,07:25,16-11-2023,,,Valuta Creditering,,EUR,0.20,EUR,22.68,
17-11-2023,07:25,16-11-2023,,,Valuta Debitering,1.0879,USD,-0.22,USD,0.00,
16-11-2023,20:02,16-11-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,99 EUR",,,,EUR,22.48,
16-11-2023,20:02,16-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.99,EUR,19.49,
16-11-2023,07:59,15-11-2023,,,Valuta Creditering,,EUR,2.99,EUR,22.48,
16-11-2023,07:59,15-11-2023,,,Valuta Debitering,1.0874,USD,-3.25,USD,0.22,
16-11-2023,07:23,15-11-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,3.47,
16-11-2023,07:23,15-11-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.26,USD,3.51,
15-11-2023,07:14,14-11-2023,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,3.82,USD,3.25,
15-11-2023,07:14,14-11-2023,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.57,USD,-0.57,
13-11-2023,11:17,10-11-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 142,83 EUR",,,,EUR,19.49,
13-11-2023,11:17,10-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,142.83,EUR,162.32,
10-11-2023,15:37,10-11-2023,REALTY INCOME CORPORAT,US7561091049,Valuta Creditering,1.0651,USD,150.00,USD,0.00,05b2e970-f7f8-4ac3-85a6-3193750055bc
10-11-2023,15:37,10-11-2023,REALTY INCOME CORPORAT,US7561091049,Valuta Debitering,,EUR,-140.83,EUR,19.49,05b2e970-f7f8-4ac3-85a6-3193750055bc
10-11-2023,15:37,10-11-2023,REALTY INCOME CORPORAT,US7561091049,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,160.32,05b2e970-f7f8-4ac3-85a6-3193750055bc
10-11-2023,15:37,10-11-2023,REALTY INCOME CORPORAT,US7561091049,Koop 3 @ 50 USD,,USD,-150.00,USD,-150.00,05b2e970-f7f8-4ac3-85a6-3193750055bc
03-11-2023,17:47,03-11-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3,06 EUR",,,,EUR,162.32,
03-11-2023,17:47,03-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.06,EUR,159.26,
03-11-2023,07:58,02-11-2023,,,Valuta Creditering,,EUR,3.06,EUR,162.32,
03-11-2023,07:58,02-11-2023,,,Valuta Debitering,1.0648,USD,-3.26,USD,0.00,
02-11-2023,07:29,01-11-2023,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.37,USD,3.26,
02-11-2023,07:29,01-11-2023,AT&T INC.,US00206R1023,Dividend,,USD,2.50,USD,3.63,
02-11-2023,07:26,01-11-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.33,USD,1.13,
02-11-2023,07:26,01-11-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.20,USD,-0.20,
26-10-2023,11:10,26-10-2023,,,flatex Storting,,EUR,100.00,EUR,159.26,
24-10-2023,10:17,23-10-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 192,3 EUR",,,,EUR,59.26,
24-10-2023,10:17,23-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,192.30,EUR,251.56,
23-10-2023,16:47,23-10-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 100,44 EUR",,,,EUR,59.26,
23-10-2023,16:47,23-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,100.44,EUR,159.70,
23-10-2023,15:30,23-10-2023,ONEOK INC. COMMON STO,US6826801036,Valuta Creditering,1.0574,USD,201.21,USD,0.00,dea12e71-ae43-441d-9b38-3936f70974d6
23-10-2023,15:30,23-10-2023,ONEOK INC. COMMON STO,US6826801036,Valuta Debitering,,EUR,-190.30,EUR,59.26,dea12e71-ae43-441d-9b38-3936f70974d6
23-10-2023,15:30,23-10-2023,ONEOK INC. COMMON STO,US6826801036,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,249.56,dea12e71-ae43-441d-9b38-3936f70974d6
23-10-2023,15:30,23-10-2023,ONEOK INC. COMMON STO,US6826801036,"Koop 3 @ 67,07 USD",,USD,-201.21,USD,-201.21,dea12e71-ae43-441d-
,,,,,,,,,,,9b38-3936f70974d6
23-10-2023,09:04,23-10-2023,VANGUARD FTSE AW,IE00B3RBWM25,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,251.56,b58dd189-4e41-4009-9b8d-c4b4d0d6b9a5
23-10-2023,09:04,23-10-2023,VANGUARD FTSE AW,IE00B3RBWM25,"Koop 1 @ 99,44 EUR",,EUR,-99.44,EUR,252.56,b58dd189-4e41-4009-9b8d-c4b4d0d6b9a5
17-10-2023,18:17,17-10-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,21 EUR",,,,EUR,352.00,
17-10-2023,18:17,17-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.21,EUR,351.79,
17-10-2023,07:43,16-10-2023,,,Valuta Creditering,,EUR,0.21,EUR,352.00,
17-10-2023,07:43,16-10-2023,,,Valuta Debitering,1.0587,USD,-0.22,USD,0.00,
16-10-2023,17:32,16-10-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,06 EUR",,,,EUR,351.79,
16-10-2023,17:32,16-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.06,EUR,349.73,
16-10-2023,07:25,13-10-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.26,USD,0.22,
16-10-2023,07:25,13-10-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
14-10-2023,07:37,13-10-2023,,,Valuta Creditering,,EUR,2.06,EUR,351.79,
14-10-2023,07:37,13-10-2023,,,Valuta Debitering,1.0536,USD,-2.17,USD,0.00,
13-10-2023,06:58,12-10-2023,MEDICAL PROPERTIES TRU,US58463J3041,Dividend,,USD,2.55,USD,2.17,
13-10-2023,06:58,12-10-2023,MEDICAL PROPERTIES TRU,US58463J3041,Dividendbelasting,,USD,-0.38,USD,-0.38,
12-10-2023,16:47,12-10-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,57 EUR",,,,EUR,349.73,
12-10-2023,16:47,12-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.57,EUR,348.16,
12-10-2023,07:35,11-10-2023,,,Valuta Creditering,,EUR,1.57,EUR,349.73,
12-10-2023,07:35,11-10-2023,,,Valuta Debitering,1.0645,USD,-1.67,USD,0.00,
11-10-2023,06:41,10-10-2023,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.96,USD,1.67,
11-10-2023,06:41,10-10-2023,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.29,USD,-0.29,
03-10-2023,18:50,03-10-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,39 EUR",,,,EUR,348.16,
03-10-2023,18:50,03-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.39,EUR,347.77,
03-10-2023,07:37,02-10-2023,,,Valuta Creditering,,EUR,0.39,EUR,348.16,
03-10-2023,07:37,02-10-2023,,,Valuta Debitering,1.0504,USD,-0.41,USD,0.00,
02-10-2023,06:51,29-09-2023,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.48,USD,0.41,
02-10-2023,06:51,29-09-2023,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.07,USD,-0.07,
02-10-2023,05:31,30-09-2023,,,Flatex Interest Income,,EUR,0.00,EUR,347.77,
29-09-2023,18:51,29-09-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,78 EUR",,,,EUR,347.77,
29-09-2023,18:51,29-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.78,EUR,345.99,
29-09-2023,07:47,28-09-2023,,,Valuta Creditering,,EUR,1.78,EUR,347.77,
29-09-2023,07:47,28-09-2023,,,Valuta Debitering,1.0592,USD,-1.89,USD,0.00,
28-09-2023,08:02,27-09-2023,VANGUARD FTSE AW,IE00B3RBWM25,Dividend,,USD,1.89,USD,1.89,
26-09-2023,11:31,26-09-2023,,,flatex Storting,,EUR,100.00,EUR,345.99,
18-09-2023,19:35,18-09-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,21 EUR",,,,EUR,245.99,
18-09-2023,19:35,18-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.21,EUR,245.78,
17-09-2023,07:36,15-09-2023,,,Valuta Creditering,,EUR,0.21,EUR,245.99,
17-09-2023,07:36,15-09-2023,,,Valuta Debitering,1.0684,USD,-0.22,USD,0.00,
17-09-2023,01:10,15-09-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.26,USD,0.22,
17-09-2023,01:10,15-09-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
13-09-2023,19:04,13-09-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 4,22 EUR",,,,EUR,245.78,
13-09-2023,19:04,13-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-4.22,EUR,241.56,
13-09-2023,07:20,12-09-2023,ABN AMRO GROUP,NL0011540547,Dividend,,EUR,4.96,EUR,245.78,
13-09-2023,07:20,12-09-2023,ABN AMRO GROUP,NL0011540547,Dividendbelasting,,EUR,-0.74,EUR,240.82,
01-09-2023,17:19,01-09-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,83 EUR",,,,EUR,241.56,
01-09-2023,17:19,01-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.83,EUR,240.73,
01-09-2023,08:19,31-08-2023,AHOLD DELHAIZE,NL0011794037,Dividend,,EUR,0.98,EUR,241.56,
01-09-2023,08:19,31-08-2023,AHOLD DELHAIZE,NL0011794037,Dividendbelasting,,EUR,-0.15,EUR,240.58,
28-08-2023,11:11,28-08-2023,,,flatex Storting,,EUR,100.00,EUR,240.73,
18-08-2023,16:50,18-08-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 202,6 EUR",,,,EUR,140.73,
18-08-2023,16:50,18-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,202.60,EUR,343.33,
18-08-2023,10:37,17-08-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 36,58 EUR",,,,EUR,140.73,
18-08-2023,10:37,17-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,36.58,EUR,177.31,
18-08-2023,09:04,18-08-2023,VANGUARD FTSE AW,IE00B3RBWM25,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,140.73,f20f2b08-e023-46a6-a4bc-869bfb7aac59
18-08-2023,09:04,18-08-2023,VANGUARD FTSE AW,IE00B3RBWM25,"Koop 2 @ 100,8 EUR",,EUR,-201.60,EUR,141.73,f20f2b08-e023-46a6-a4bc-869bfb7aac59
17-08-2023,19:22,17-08-2023,MEDICAL PROPERTIES TRU,US58463J3041,Valuta Creditering,1.0844,USD,37.50,USD,0.00,ff2c9ad9-12b9-4f83-aa02-e11bd4fd3467
17-08-2023,19:22,17-08-2023,MEDICAL PROPERTIES TRU,US58463J3041,Valuta Debitering,,EUR,-34.58,EUR,343.33,ff2c9ad9-12b9-4f83-aa02-e11bd4fd3467
17-08-2023,19:22,17-08-2023,MEDICAL PROPERTIES TRU,US58463J3041,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,377.91,ff2c9ad9-12b9-4f83-aa02-e11bd4fd3467
17-08-2023,19:22,17-08-2023,MEDICAL PROPERTIES TRU,US58463J3041,"Koop 5 @ 7,4998 USD",,USD,-37.50,USD,-37.50,ff2c9ad9-12b9-4f83-aa02-e11bd4fd3467
17-08-2023,16:50,17-08-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,379.91,
17-08-2023,16:50,17-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,379.71,
17-08-2023,07:33,16-08-2023,,,Valuta Creditering,,EUR,0.20,EUR,379.91,
17-08-2023,07:33,16-08-2023,,,Valuta Debitering,1.0906,USD,-0.22,USD,0.00,
16-08-2023,16:35,16-08-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,75 EUR",,,,EUR,379.71,
16-08-2023,16:35,16-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.75,EUR,378.96,
16-08-2023,07:33,15-08-2023,,,Valuta Creditering,,EUR,0.75,EUR,379.71,
16-08-2023,07:33,15-08-2023,,,Valuta Debitering,1.0932,USD,-0.82,USD,0.22,
16-08-2023,06:46,15-08-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.26,USD,1.04,
16-08-2023,06:46,15-08-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,0.78,
15-08-2023,17:19,15-08-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,3 EUR",,,,EUR,378.96,
15-08-2023,17:19,15-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.30,EUR,378.66,
15-08-2023,07:19,14-08-2023,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,0.96,USD,0.82,
15-08-2023,07:19,14-08-2023,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.14,USD,-0.14,
15-08-2023,06:39,14-08-2023,ING GROEP N.V.,NL0011821202,Dividend,,EUR,0.35,EUR,378.96,
15-08-2023,06:39,14-08-2023,ING GROEP N.V.,NL0011821202,Dividendbelasting,,EUR,-0.05,EUR,378.61,
03-08-2023,16:50,03-08-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,95 EUR",,,,EUR,378.66,
03-08-2023,16:50,03-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.95,EUR,375.71,
03-08-2023,07:37,02-08-2023,,,Valuta Creditering,,EUR,2.95,EUR,378.66,
03-08-2023,07:37,02-08-2023,,,Valuta Debitering,1.0965,USD,-3.24,USD,0.00,
02-08-2023,17:34,02-08-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,44 EUR",,,,EUR,375.71,
02-08-2023,17:34,02-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.44,EUR,375.27,
02-08-2023,10:22,01-08-2023,KPN KON,NL0000009082,Dividend,,EUR,0.52,EUR,375.71,
02-08-2023,10:22,01-08-2023,KPN KON,NL0000009082,Dividendbelasting,,EUR,-0.08,EUR,375.19,
02-08-2023,07:35,01-08-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.31,USD,3.24,
02-08-2023,07:35,01-08-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.20,USD,1.93,
02-08-2023,07:34,01-08-2023,AT&T INC.,US00206R1023,Dividend,,USD,2.50,USD,2.13,
02-08-2023,07:34,01-08-2023,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.37,USD,-0.37,
26-07-2023,11:21,26-07-2023,,,flatex Storting,,EUR,100.00,EUR,375.27,
18-07-2023,16:49,18-07-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,275.27,
18-07-2023,16:49,18-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,275.07,
18-07-2023,07:40,17-07-2023,,,Valuta Creditering,,EUR,0.20,EUR,275.27,
18-07-2023,07:40,17-07-2023,,,Valuta Debitering,1.1264,USD,-0.22,USD,0.00,
17-07-2023,16:49,17-07-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,63 EUR",,,,EUR,275.07,
17-07-2023,16:49,17-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.63,EUR,272.44,
17-07-2023,06:55,14-07-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.26,USD,0.22,
17-07-2023,06:55,14-07-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
15-07-2023,07:36,14-07-2023,,,Valuta Creditering,,EUR,2.63,EUR,275.07,
15-07-2023,07:36,14-07-2023,,,Valuta Debitering,1.1255,USD,-2.96,USD,0.00,
14-07-2023,07:29,13-07-2023,MEDICAL PROPERTIES TRU,US58463J3041,Dividend,,USD,3.48,USD,2.96,
14-07-2023,07:29,13-07-2023,MEDICAL PROPERTIES TRU,US58463J3041,Dividendbelasting,,USD,-0.52,USD,-0.52,
13-07-2023,11:50,12-07-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,45 EUR",,,,EUR,272.44,
13-07-2023,11:50,12-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.45,EUR,270.99,
12-07-2023,08:29,11-07-2023,,,Valuta Creditering,,EUR,1.45,EUR,272.44,
12-07-2023,08:29,11-07-2023,,,Valuta Debitering,1.1036,USD,-1.60,USD,0.00,
11-07-2023,07:33,10-07-2023,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.88,USD,1.60,
11-07-2023,07:33,10-07-2023,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.28,USD,-0.28,
04-07-2023,17:20,04-07-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,34 EUR",,,,EUR,270.99,
04-07-2023,17:20,04-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.34,EUR,270.65,
04-07-2023,07:49,03-07-2023,,,Valuta Creditering,,EUR,0.34,EUR,270.99,
04-07-2023,07:49,03-07-2023,,,Valuta Debitering,1.0938,USD,-0.37,USD,0.00,
03-07-2023,07:28,30-06-2023,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.44,USD,0.37,
03-07-2023,07:28,30-06-2023,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.07,USD,-0.07,
01-07-2023,21:01,30-06-2023,,,Flatex Interest Income,,EUR,0.00,EUR,270.65,
30-06-2023,19:05,30-06-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,33 EUR",,,,EUR,270.65,
30-06-2023,19:05,30-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.33,EUR,269.32,
30-06-2023,08:06,29-06-2023,,,Valuta Creditering,,EUR,1.33,EUR,270.65,
30-06-2023,08:06,29-06-2023,,,Valuta Debitering,1.0892,USD,-1.45,USD,0.00,
29-06-2023,07:48,28-06-2023,VANGUARD FTSE AW,IE00B3RBWM25,Dividend,,USD,1.45,USD,1.45,
27-06-2023,11:21,27-06-2023,,,flatex Storting,,EUR,100.00,EUR,269.32,
19-06-2023,16:50,19-06-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,169.32,
19-06-2023,16:50,19-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,169.12,
17-06-2023,07:41,16-06-2023,,,Valuta Creditering,,EUR,0.20,EUR,169.32,
17-06-2023,07:41,16-06-2023,,,Valuta Debitering,1.0965,USD,-0.22,USD,0.00,
16-06-2023,06:44,15-06-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.26,USD,0.22,
16-06-2023,06:44,15-06-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
26-05-2023,11:11,26-05-2023,,,flatex Storting,,EUR,100.00,EUR,169.12,
18-05-2023,18:04,18-05-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 4,56 EUR",,,,EUR,69.12,
18-05-2023,18:04,18-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-4.56,EUR,64.56,
18-05-2023,10:00,17-05-2023,ABN AMRO GROUP,NL0011540547,Dividend,,EUR,5.36,EUR,69.12,
18-05-2023,10:00,17-05-2023,ABN AMRO GROUP,NL0011540547,Dividendbelasting,,EUR,-0.80,EUR,63.76,
17-05-2023,17:49,17-05-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,96 EUR",,,,EUR,64.56,
17-05-2023,17:49,17-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.96,EUR,63.60,
17-05-2023,07:36,16-05-2023,,,Valuta Creditering,,EUR,0.96,EUR,64.56,
17-05-2023,07:36,16-05-2023,,,Valuta Debitering,1.0890,USD,-1.04,USD,0.00,
16-05-2023,16:50,16-05-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 46,4 EUR",,,,EUR,63.60,
16-05-2023,16:50,16-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,46.40,EUR,110.00,
16-05-2023,07:22,15-05-2023,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,0.96,USD,1.04,
16-05-2023,07:22,15-05-2023,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.14,USD,0.08,
16-05-2023,07:20,15-05-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.26,USD,0.22,
16-05-2023,07:20,15-05-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
16-05-2023,04:51,15-05-2023,,,iDEAL Deposit,,EUR,10.00,EUR,63.60,
16-05-2023,04:51,15-05-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-10.00,EUR,53.60,
16-05-2023,04:51,15-05-2023,,,iDEAL Deposit,,EUR,50.00,EUR,63.60,
16-05-2023,04:51,15-05-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-50.00,EUR,13.60,
16-05-2023,04:51,15-05-2023,,,iDEAL Deposit,,EUR,50.00,EUR,63.60,
16-05-2023,04:51,15-05-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-50.00,EUR,13.60,
15-05-2023,16:19,15-05-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 53,34 EUR",,,,EUR,63.60,
15-05-2023,16:19,15-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,53.34,EUR,116.94,
15-05-2023,09:04,15-05-2023,VANGUARD FTSE AW,IE00B3RBWM25,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,63.60,411f376f-d4c1-4261-8c20-94452f4ec28c
15-05-2023,09:04,15-05-2023,VANGUARD FTSE AW,IE00B3RBWM25,"Koop 1 @ 98,74 EUR",,EUR,-98.74,EUR,64.60,411f376f-d4c1-4261-8c20-94452f4ec28c
14-05-2023,18:45,14-05-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,50.00,EUR,163.34,
14-05-2023,18:30,14-05-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,10.00,EUR,113.34,
14-05-2023,18:15,14-05-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,50.00,EUR,103.34,
